paper_id,question,true_label,predicted_label,true_answer,predicted_answer,model_name
1804.07931v2,What are the two auxiliary tasks that are used in the ESMM architecture for CVR modeling?,279,408,The two auxiliary tasks are CTR and CTCVR.,Multi-X,text_model_embed100_hidden50
1803.03467v4,Which dataset has the highest AUC for all ripple set sizes?,146,451,MovieLens-1M,VIDXL has the highest Recall@20 and MRR@20.,text_model_embed100_hidden50
1804.05938v2,"Explain the difference between the features ""TF-IDF"" and ""BM25"".",324,215,"Both TF-IDF and BM25 are features used to estimate the relevance of a document to a query. However, they differ in their underlying calculations.

TF-IDF: This feature represents the average product of term frequency (TF) and inverse document frequency (IDF) for each query term within different document sections (URL, title, content, and whole document). TF measures how often a term appears in a specific document section, while IDF measures how important that term is across the entire document collection.

BM25: This feature utilizes the BM25 ranking function, which is a probabilistic model that considers term frequency, document length, and average document length to estimate relevance. While it also considers term frequency like TF-IDF, it incorporates additional factors to improve the weighting scheme.",5 hops,text_model_embed100_hidden50
1805.01216v3,Which model performs best when the percentage of unseen entities in the response is low?,312,350,BoSsNet,TecoGAN,text_model_embed100_hidden50
1701.06171v4,How many iterations did the greedy EM-type learning process take to learn the part models for the watch image?,119,508,22 iterations,"The AUC and MAP values initially increase with increasing margin, but then decrease after a certain point.",text_model_embed100_hidden50
1704.07121v2,"On the VQAv2-2017 validation set, which model performs best when considering all three sources of information (images, questions, and answers) and how does its performance compare to the model that only uses answers?",187,95,"The model that performs best on VQAv2-2017 val when considering all three sources of information is MLP-IQA. It achieves an accuracy of 61.1% on the \IU+\QU -decoys metric, significantly outperforming the model that only uses answers (MLP-A) which achieves only 27.7% on the same metric. This demonstrates the importance of incorporating all available information for accurate prediction.","PWC-Net (ft) achieved the best performance on the KITTI 2015 test set with an F1-all score of 9.16%. This is significantly better than Devon (ft), which achieved an F1-all score of 14.31% on the same dataset. ",text_model_embed100_hidden50
1809.03550v3,Why is the optimal threshold chosen to be at the right margin of the region around the mode of the histogram?,622,483,"The region around the mode of the histogram mostly contains noise. Therefore, the optimal threshold is chosen to be at the right margin of this region to avoid including too much noise in the thresholded image."," 

Increasing the value of β2 decreases the precision and increases the recall of the model.",text_model_embed100_hidden50
1707.00524v2,Which game has the highest code loss in phase 2?,486,79,Pacman,The 1-keyword method resulted in the highest BLEU score of 0.705.,text_model_embed100_hidden50
1809.02731v3,Which model performed best on average across all tasks?,592,451,The Linear model performed best on average with a score of 70.0.,VIDXL has the highest Recall@20 and MRR@20.,text_model_embed100_hidden50
1706.00633v4,Which objective function resulted in a higher ratio of f2(x∗) > 0 for the MNIST dataset?,393,378,RCE,Cars are the most common object in the dataset.,text_model_embed100_hidden50
1809.00458v1,Which method is more efficient at utilizing space while maintaining high accuracy?,561,378,GB-KMV is more efficient at utilizing space while maintaining high accuracy.,Cars are the most common object in the dataset.,text_model_embed100_hidden50
1708.01425v4,Which step in the methodology resulted in the largest decrease in the size of the dataset?,567,51,"Step 4, Reason disambiguation.",The proposed method appears to be more accurate than the baseline method. The depth maps generated by the proposed method are more detailed and realistic than those generated by the baseline method.,text_model_embed100_hidden50
1804.05995v2,What are the top 5 section recommendations for the Wikipedia article on Lausanne according to the category-section counts method?,272,73,"The top 5 section recommendations for the Wikipedia article on Lausanne according to the category-section counts method are HISTORY, DEMOGRAPHICS, ECONOMY, EDUCATION, and POLITICS.","The equation that describes the motion of a mass attached to a spring is:
```
m d^2 X / dt^2 + kX = 0
```
where:
* m is the mass of the object
* X is the displacement of the object from its equilibrium position
* k is the spring constant
* t is time",text_model_embed100_hidden50
1803.03467v4,What is the role of the ripple sets in the RippleNet framework?,144,354,The ripple sets are used to propagate a user's preferences from his or her click history to his or her relevant entities.,"The Motion Compensation block estimates the motion between the previous frame and the current frame, and uses this information to warp the previous frame to the current frame. This helps the generator to produce more realistic images by taking into account the temporal information in the video sequence.",text_model_embed100_hidden50
1803.04572v2,What are some common medications used to treat Sickle Cell Anemia?,149,382,"According to the table, some common medications used to treat Sickle Cell Anemia include:

Beta-adrenergic agents
Analgesics (narcotics and non-narcotics)
NSAIDs (cyclooxygenase inhibitor - type)
Potassium replacement
Sodium/saline preparations
General inhalation agents
Laxatives and cathartics
IV solutions (dextrose-saline)
Antiemetic/antivertigo agents
Sedative-hypnotics (non-barbiturate)
Glucocorticoids (orally inhaled)
Folic acid preparations
Analgesic narcotic anesthetic adjunct agents",Approximately 80%,text_model_embed100_hidden50
1809.00263v5,What is the value of the learning rate α for the BAIR dataset?,537,329,0.0002,"The Bernoulli parameter is a measure of the probability of a pixel being foreground or background. The higher the Bernoulli parameter, the more likely the pixel is to be foreground. This is reflected in the images, where the pixels with higher Bernoulli parameters are more likely to be part of the person's silhouette.",text_model_embed100_hidden50
1803.02750v3,What is the difference between the `inc_i(p)` and `inc_i'(p)` operations in the Grow-only Counter data type?,114,93,"The `inc_i(p)` operation increments the value associated with the key `i` in the counter `p`, while the `inc_i'(p)` operation increments the value associated with the key `i` in the counter `p` only if the key `i` is not already present in the counter.",The relation module (Rt) is responsible for capturing the spatial relationships between the features extracted from the first and second images.,text_model_embed100_hidden50
1706.04269v2,What are the three main components of the Action Search model architecture?,453,260,"The three main components of the Action Search model architecture are the visual encoder, the LSTM, and the spotting target.",The input to the convolutional self-correction model is the logits generated by the primary and ancillary models.,text_model_embed100_hidden50
1706.00633v4,How does the accuracy of the model change as the value of c increases?,392,431,The accuracy of the model decreases as the value of c increases.,"The performance of the model generally improves as the number of views increases. For example, when the model is trained and tested on two-view data, the F1-score is 29.67. However, when the model is trained and tested on three-view data, the F1-score increases to 30.2. This suggests that the model is able to learn more effectively from data with more views.",text_model_embed100_hidden50
1812.00281v3,What are the different stages of HUMBI body and cloth reconstruction?,437,359,"The different stages of HUMBI body and cloth reconstruction are: 
1. Input image of the person (Ibody)
2. Keypoint estimation (Kbody)
3. Occupancy map generation (Obody)
4. Body model fitting (Mbody)
5. Cloth model fitting (Mcloth)",The user study is designed to test which of two images is closer to a reference video.,text_model_embed100_hidden50
1706.00633v4,Which of the following algorithms performs the best when trained via the CE?,391,350,C&W-hc,TecoGAN,text_model_embed100_hidden50
1705.09882v2,Which part of the model is responsible for deciding which frames are most important for the re-identification task?,330,288,The Reinforced Temporal Attention (RTA) unit.,ImageNet-Dogs benefited more from the PC optimization method compared to ImageNet-Random.,text_model_embed100_hidden50
1706.03847v3,How does the training time of the different losses change as the number of additional samples increases?,450,474,The training time of all losses increases as the number of additional samples increases.,The quality of the generated samples decreases as the update threshold increases.,text_model_embed100_hidden50
