Epoch [1/100], Train Loss: 7.2618, Train Acc: 0.00%, Val Loss: 6.9211, Val Acc: 0.00%
Epoch [2/100], Train Loss: 6.4711, Train Acc: 0.38%, Val Loss: 9.9795, Val Acc: 0.00%
Epoch [3/100], Train Loss: 6.3992, Train Acc: 0.75%, Val Loss: 7.6166, Val Acc: 0.00%
Epoch [4/100], Train Loss: 6.3705, Train Acc: 0.38%, Val Loss: 7.9856, Val Acc: 0.00%
Epoch [5/100], Train Loss: 6.3283, Train Acc: 0.38%, Val Loss: 8.4591, Val Acc: 0.00%
Epoch [6/100], Train Loss: 6.2981, Train Acc: 0.38%, Val Loss: 8.6761, Val Acc: 0.00%
Epoch [7/100], Train Loss: 6.2784, Train Acc: 0.38%, Val Loss: 9.2587, Val Acc: 0.00%
Epoch [8/100], Train Loss: 6.2490, Train Acc: 0.56%, Val Loss: 9.8489, Val Acc: 0.00%
Epoch [9/100], Train Loss: 6.2093, Train Acc: 0.38%, Val Loss: 10.7807, Val Acc: 0.00%
Epoch [10/100], Train Loss: 6.1434, Train Acc: 0.56%, Val Loss: 10.7857, Val Acc: 0.00%
Epoch [11/100], Train Loss: 6.0766, Train Acc: 0.75%, Val Loss: 12.3241, Val Acc: 0.00%
Epoch [12/100], Train Loss: 6.0063, Train Acc: 1.13%, Val Loss: 13.1618, Val Acc: 0.00%
Epoch [13/100], Train Loss: 5.9422, Train Acc: 1.13%, Val Loss: 13.8754, Val Acc: 0.00%
Epoch [14/100], Train Loss: 5.8074, Train Acc: 1.13%, Val Loss: 14.2564, Val Acc: 0.00%
Epoch [15/100], Train Loss: 5.6735, Train Acc: 1.50%, Val Loss: 15.2707, Val Acc: 0.00%
Epoch [16/100], Train Loss: 5.5007, Train Acc: 0.94%, Val Loss: 14.2625, Val Acc: 0.00%
Epoch [17/100], Train Loss: 5.3319, Train Acc: 2.44%, Val Loss: 16.2827, Val Acc: 0.00%
Epoch [18/100], Train Loss: 5.2478, Train Acc: 1.50%, Val Loss: 18.7731, Val Acc: 0.00%
Epoch [19/100], Train Loss: 5.1311, Train Acc: 2.82%, Val Loss: 18.0144, Val Acc: 0.00%
Epoch [20/100], Train Loss: 4.8786, Train Acc: 3.20%, Val Loss: 19.8791, Val Acc: 0.00%
Epoch [21/100], Train Loss: 4.6629, Train Acc: 3.95%, Val Loss: 18.7115, Val Acc: 0.00%
Epoch [22/100], Train Loss: 4.4124, Train Acc: 5.26%, Val Loss: 18.9821, Val Acc: 0.00%
Epoch [23/100], Train Loss: 4.1344, Train Acc: 5.26%, Val Loss: 20.7748, Val Acc: 0.75%
Epoch [24/100], Train Loss: 3.9495, Train Acc: 8.08%, Val Loss: 19.2173, Val Acc: 0.75%
Epoch [25/100], Train Loss: 3.6643, Train Acc: 12.78%, Val Loss: 19.2071, Val Acc: 0.75%
Epoch [26/100], Train Loss: 3.4466, Train Acc: 15.04%, Val Loss: 19.9972, Val Acc: 0.75%
Epoch [27/100], Train Loss: 3.2944, Train Acc: 22.37%, Val Loss: 19.3148, Val Acc: 0.00%
Epoch [28/100], Train Loss: 2.9000, Train Acc: 28.57%, Val Loss: 21.4726, Val Acc: 0.75%
Epoch [29/100], Train Loss: 2.7178, Train Acc: 35.34%, Val Loss: 19.9116, Val Acc: 0.75%
Epoch [30/100], Train Loss: 2.3117, Train Acc: 44.74%, Val Loss: 22.9154, Val Acc: 0.00%
Epoch [31/100], Train Loss: 2.0317, Train Acc: 51.69%, Val Loss: 21.5032, Val Acc: 0.75%
Epoch [32/100], Train Loss: 1.6621, Train Acc: 59.77%, Val Loss: 22.1858, Val Acc: 0.75%
