Epoch [1/100], Train Loss: 7.4582, Train Acc: 0.19%, Val Loss: 8.2954, Val Acc: 0.00%
Epoch [2/100], Train Loss: 6.5753, Train Acc: 0.56%, Val Loss: 9.2235, Val Acc: 0.00%
Epoch [3/100], Train Loss: 6.3863, Train Acc: 0.38%, Val Loss: 9.8042, Val Acc: 0.00%
Epoch [4/100], Train Loss: 6.2854, Train Acc: 0.94%, Val Loss: 10.2131, Val Acc: 0.00%
Epoch [5/100], Train Loss: 6.2087, Train Acc: 2.07%, Val Loss: 10.5197, Val Acc: 0.00%
Epoch [6/100], Train Loss: 6.1397, Train Acc: 2.63%, Val Loss: 10.7613, Val Acc: 0.00%
Epoch [7/100], Train Loss: 6.0718, Train Acc: 4.51%, Val Loss: 10.9453, Val Acc: 0.00%
Epoch [8/100], Train Loss: 5.9987, Train Acc: 5.45%, Val Loss: 11.1016, Val Acc: 0.00%
Epoch [9/100], Train Loss: 5.9224, Train Acc: 8.83%, Val Loss: 11.2312, Val Acc: 0.00%
Epoch [10/100], Train Loss: 5.8413, Train Acc: 11.47%, Val Loss: 11.3455, Val Acc: 0.00%
Epoch [11/100], Train Loss: 5.7566, Train Acc: 13.35%, Val Loss: 11.4354, Val Acc: 0.00%
Epoch [12/100], Train Loss: 5.6677, Train Acc: 13.72%, Val Loss: 11.5110, Val Acc: 0.00%
Epoch [13/100], Train Loss: 5.5759, Train Acc: 15.98%, Val Loss: 11.5795, Val Acc: 0.00%
Epoch [14/100], Train Loss: 5.4774, Train Acc: 18.80%, Val Loss: 11.6446, Val Acc: 0.00%
Epoch [15/100], Train Loss: 5.3783, Train Acc: 21.62%, Val Loss: 11.6918, Val Acc: 0.00%
Epoch [16/100], Train Loss: 5.2768, Train Acc: 23.87%, Val Loss: 11.7468, Val Acc: 0.00%
Epoch [17/100], Train Loss: 5.1723, Train Acc: 25.00%, Val Loss: 11.7904, Val Acc: 0.00%
Epoch [18/100], Train Loss: 5.0672, Train Acc: 30.83%, Val Loss: 11.8244, Val Acc: 0.00%
Epoch [19/100], Train Loss: 4.9586, Train Acc: 31.58%, Val Loss: 11.8718, Val Acc: 0.00%
Epoch [20/100], Train Loss: 4.8501, Train Acc: 33.83%, Val Loss: 11.9130, Val Acc: 0.00%
Epoch [21/100], Train Loss: 4.7385, Train Acc: 37.59%, Val Loss: 11.9462, Val Acc: 0.00%
Epoch [22/100], Train Loss: 4.6264, Train Acc: 39.10%, Val Loss: 11.9837, Val Acc: 0.00%
Epoch [23/100], Train Loss: 4.5138, Train Acc: 42.67%, Val Loss: 12.0163, Val Acc: 0.00%
Epoch [24/100], Train Loss: 4.4006, Train Acc: 49.62%, Val Loss: 12.0581, Val Acc: 0.00%
Epoch [25/100], Train Loss: 4.2857, Train Acc: 57.14%, Val Loss: 12.0940, Val Acc: 0.00%
Epoch [26/100], Train Loss: 4.1710, Train Acc: 55.08%, Val Loss: 12.1354, Val Acc: 0.00%
Epoch [27/100], Train Loss: 4.0559, Train Acc: 62.78%, Val Loss: 12.1719, Val Acc: 0.00%
Epoch [28/100], Train Loss: 3.9412, Train Acc: 66.54%, Val Loss: 12.2117, Val Acc: 0.00%
Epoch [29/100], Train Loss: 3.8264, Train Acc: 69.55%, Val Loss: 12.2496, Val Acc: 0.00%
Epoch [30/100], Train Loss: 3.7109, Train Acc: 72.74%, Val Loss: 12.2992, Val Acc: 0.00%
Epoch [31/100], Train Loss: 3.5979, Train Acc: 75.19%, Val Loss: 12.3410, Val Acc: 0.00%
Epoch [32/100], Train Loss: 3.4841, Train Acc: 76.88%, Val Loss: 12.3886, Val Acc: 0.00%
Epoch [33/100], Train Loss: 3.3720, Train Acc: 78.01%, Val Loss: 12.4276, Val Acc: 0.00%
Epoch [34/100], Train Loss: 3.2615, Train Acc: 81.58%, Val Loss: 12.4715, Val Acc: 0.00%
Epoch [35/100], Train Loss: 3.1522, Train Acc: 83.46%, Val Loss: 12.5195, Val Acc: 0.00%
Epoch [36/100], Train Loss: 3.0449, Train Acc: 84.59%, Val Loss: 12.5629, Val Acc: 0.00%
Epoch [37/100], Train Loss: 2.9375, Train Acc: 84.96%, Val Loss: 12.6088, Val Acc: 0.00%
Epoch [38/100], Train Loss: 2.8332, Train Acc: 86.47%, Val Loss: 12.6544, Val Acc: 0.00%
Epoch [39/100], Train Loss: 2.7304, Train Acc: 88.16%, Val Loss: 12.6976, Val Acc: 0.00%
Epoch [40/100], Train Loss: 2.6289, Train Acc: 88.91%, Val Loss: 12.7445, Val Acc: 0.00%
Epoch [41/100], Train Loss: 2.5307, Train Acc: 89.10%, Val Loss: 12.7927, Val Acc: 0.00%
Epoch [42/100], Train Loss: 2.4333, Train Acc: 91.17%, Val Loss: 12.8318, Val Acc: 0.00%
Epoch [43/100], Train Loss: 2.3376, Train Acc: 91.35%, Val Loss: 12.8778, Val Acc: 0.00%
Epoch [44/100], Train Loss: 2.2448, Train Acc: 92.11%, Val Loss: 12.9170, Val Acc: 0.00%
Epoch [45/100], Train Loss: 2.1538, Train Acc: 92.11%, Val Loss: 12.9597, Val Acc: 0.00%
Epoch [46/100], Train Loss: 2.0656, Train Acc: 92.67%, Val Loss: 13.0017, Val Acc: 0.00%
Epoch [47/100], Train Loss: 1.9796, Train Acc: 94.36%, Val Loss: 13.0488, Val Acc: 0.00%
Epoch [48/100], Train Loss: 1.8957, Train Acc: 94.36%, Val Loss: 13.0976, Val Acc: 0.00%
Epoch [49/100], Train Loss: 1.8144, Train Acc: 94.74%, Val Loss: 13.1288, Val Acc: 0.00%
Epoch [50/100], Train Loss: 1.7354, Train Acc: 95.68%, Val Loss: 13.1691, Val Acc: 0.00%
Epoch [51/100], Train Loss: 1.6597, Train Acc: 96.24%, Val Loss: 13.2071, Val Acc: 0.00%
Epoch [52/100], Train Loss: 1.5851, Train Acc: 97.56%, Val Loss: 13.2497, Val Acc: 0.00%
Epoch [53/100], Train Loss: 1.5141, Train Acc: 98.12%, Val Loss: 13.2859, Val Acc: 0.00%
Epoch [54/100], Train Loss: 1.4452, Train Acc: 97.93%, Val Loss: 13.3289, Val Acc: 0.00%
Epoch [55/100], Train Loss: 1.3786, Train Acc: 97.93%, Val Loss: 13.3589, Val Acc: 0.00%
Epoch [56/100], Train Loss: 1.3153, Train Acc: 98.31%, Val Loss: 13.4045, Val Acc: 0.00%
